V,hinfjinf
751,4.82E-193
752,2.81E-193
753,1.64E-193
754,9.58E-194
755,5.59E-194
756,3.27E-194
757,1.91E-194
758,1.11E-194
759,6.49E-195
760,3.79E-195
761,2.21E-195
762,1.29E-195
763,7.54E-196
764,4.40E-196
765,2.57E-196
766,1.50E-196
767,8.75E-197
768,5.11E-197
769,2.98E-197
770,1.74E-197
771,1.02E-197
772,5.93E-198
773,3.46E-198
774,2.02E-198
775,1.18E-198
776,6.88E-199
777,4.02E-199
778,2.35E-199
779,1.37E-199
780,7.99E-200
781,4.66E-200
782,2.72E-200
783,1.59E-200
784,9.28E-201
785,5.41E-201
786,3.16E-201
787,1.84E-201
788,1.08E-201
789,6.29E-202
790,3.67E-202
791,2.14E-202
792,1.25E-202
793,7.30E-203
794,4.26E-203
795,2.49E-203
796,1.45E-203
797,8.47E-204
798,4.94E-204
799,2.89E-204
800,1.68E-204
801,9.83E-205
802,5.74E-205
803,3.35E-205
804,1.96E-205
805,1.14E-205
806,6.66E-206
807,3.89E-206
808,2.27E-206
809,1.32E-206
810,7.73E-207
811,4.51E-207
812,2.64E-207
813,1.54E-207
814,8.98E-208
815,5.24E-208
816,3.06E-208
817,1.79E-208
818,1.04E-208
819,6.08E-209
820,3.55E-209
821,2.07E-209
822,1.21E-209
823,7.06E-210
824,4.12E-210
825,2.41E-210
826,1.40E-210
827,8.20E-211
828,4.79E-211
829,2.79E-211
830,1.63E-211
831,9.52E-212
832,5.55E-212
833,3.24E-212
834,1.89E-212
835,1.10E-212
836,6.45E-213
837,3.76E-213
838,2.20E-213
839,1.28E-213
840,7.49E-214
841,4.37E-214
842,2.55E-214
843,1.49E-214
844,8.69E-215
845,5.07E-215
846,2.96E-215
847,1.73E-215
848,1.01E-215
849,5.89E-216
850,3.44E-216
851,2.01E-216
852,1.17E-216
853,6.84E-217
854,3.99E-217
855,2.33E-217
856,1.36E-217
857,7.93E-218
858,4.63E-218
859,2.70E-218
860,1.58E-218
861,9.21E-219
862,5.38E-219
863,3.14E-219
864,1.83E-219
865,1.07E-219
866,6.24E-220
867,3.64E-220
868,2.13E-220
